Day	Month	Year	Tmin(C)	Tmax(C)	Prcp(mm)	Et0(mm)
3	9	2016	20.72536455	31.84354359	0	4.909090909
4	9	2016	20.65309226	32.04545233	0	4.918181818
5	9	2016	21.32136175	31.80463701	0	4.809090909
6	9	2016	20.9051841	31.42281827	0	4.727272727
7	9	2016	20.42627452	31.31691062	0	4.718181818
8	9	2016	20.90790849	31.30972678	0	4.554545455
9	9	2016	21.30127009	31.26217929	0	4.554545455
10	9	2016	20.41590909	31.30163796	0	4.7
11	9	2016	20.25027521	31.12108931	0	4.709090909
12	9	2016	20.70700295	31.09563432	0	4.536363636
13	9	2016	20.49472712	30.84281949	0	4.427272727
14	9	2016	19.63045488	30.61900135	0	4.463636364
15	9	2016	19.51354592	30.21645064	0	4.490909091
16	9	2016	19.71190629	31.39763794	0	4.718181818
17	9	2016	19.51136475	31.45200306	0	4.763636364
18	9	2016	19.90754561	32.01363636	0	4.809090909
19	9	2016	20.00599643	31.9509122	0	4.763636364
20	9	2016	19.9174555	30.92945723	0	4.472727273
21	9	2016	19.84518544	32.18163508	0	4.772727273
22	9	2016	20.71809193	31.64300093	0	4.518181818
23	9	2016	20.1339988	31.19218195	0	4.427272727
24	9	2016	19.02872758	29.74172585	0	4.272727273
25	9	2016	19.19727284	30.07699973	0	4.309090909
26	9	2016	18.24190785	29.55736694	0	4.281818182
27	9	2016	18.57963645	30.40881792	0	4.436363636
28	9	2016	18.43545477	28.93118231	0	4.018181818
29	9	2016	17.81618264	28.90900158	0	4.109090909
30	9	2016	18.0013633	28.63854592	0	4.018181818
1	10	2016	17.67281883	28.67009166	0	4.063636364
2	10	2016	17.77290927	29.05381636	0	4.127272727
3	10	2016	17.90036122	28.26236073	0	3.954545455
4	10	2016	17.71618208	27.59081698	0	3.781818182
5	10	2016	17.28409035	27.73045599	0	3.754545455
6	10	2016	17.23236195	27.43945645	0	3.754545455
7	10	2016	17.30699907	27.08336626	0	3.672727273
8	10	2016	15.76618264	28.21018233	0	4.027272727
9	10	2016	17.51918058	28.5222745	0.011818182	3.936363636
10	10	2016	17.07445235	28.23818526	0.119090909	3.918181818
11	10	2016	16.88481556	27.85318271	0.004545455	3.754545455
12	10	2016	17.33917958	28.01781894	0.003636364	3.781818182
13	10	2016	16.64500233	27.20136164	0.220909091	3.681818182
14	10	2016	17.06972878	26.50781638	0	3.481818182
15	10	2016	16.32636275	26.49218251	0	3.490909091
16	10	2016	16.29800082	26.19590842	0	3.381818182
