Day	Month	Year	Tmin(C)	Tmax(C)	Prcp(mm)	Et0(mm)
20	1	2012	6	15	0	1.9
21	1	2012	7	16	0	2
22	1	2012	9	16	0.01	1.8
23	1	2012	9	18	0	2.1
24	1	2012	10	18	0.02	2
25	1	2012	12	22	0.09	2.5
26	1	2012	11	20	0.45	2.3
27	1	2012	12	18	0	1.9
28	1	2012	11	17	0	1.8
29	1	2012	8	16	0	2
30	1	2012	11	20	0.29	2.3
31	1	2012	10	18	0	2.1
1	2	2012	11	15	0.01	1.5
2	2	2012	8	16	0.49	2
3	2	2012	7	19	0.15	2.5
4	2	2012	8	20	0.11	2.6
5	2	2012	8	20	0.17	2.6
6	2	2012	10	25	0	3.3
7	2	2012	10	18	0	2.2
8	2	2012	6	17	0.01	2.4
9	2	2012	7	16	0	2.2
10	2	2012	9	18	0	2.3
11	2	2012	7	18	0.14	2.5
12	2	2012	10	20	0.02	2.6
13	2	2012	15	23	0.63	2.6
14	2	2012	13	20	0.04	2.3
15	2	2012	13	21	0	2.5
16	2	2012	11	18	0	2.2
17	2	2012	10	17	0.3	2.1
18	2	2012	9	13	0.03	1.6
19	2	2012	8	15	0.07	2
20	2	2012	7	17	0.01	2.5
21	2	2012	7	19	0.01	2.8
22	2	2012	9	21	0.74	3
23	2	2012	11	21	0.05	2.8
24	2	2012	12	21	0.02	2.7
25	2	2012	11	19	0.02	2.5
26	2	2012	10	19	0	2.6
27	2	2012	12	22	0	3
28	2	2012	13	19	0.06	2.3
29	2	2012	10	15	0	1.9
1	3	2012	10	14	3	1.7
2	3	2012	8	13	0.51	1.8
3	3	2012	7	17	0.85	2.6
4	3	2012	11	20	0	2.8
5	3	2012	10	21	0	3.1
6	3	2012	12	24	0.01	3.5
7	3	2012	11	22	0	3.2
8	3	2012	11	21	0	3
9	3	2012	11	22	0	3.2
10	3	2012	12	26	0	4
11	3	2012	14	32	0	5.1
12	3	2012	19	25	0	2.9
13	3	2012	16	23	0	2.9
14	3	2012	13	20	0	2.7
15	3	2012	11	18	0	2.5
16	3	2012	11	18	0	2.6
17	3	2012	8	16	0	2.5
18	3	2012	6	18	0.06	3.1
19	3	2012	8	20	1.19	3.3
20	3	2012	10	20	0.52	3.1
21	3	2012	11	22	0.2	3.5
22	3	2012	12	23	0	3.6
23	3	2012	11	23	0	3.7
24	3	2012	11	23	0.04	3.7
25	3	2012	11	23	0.04	3.7
26	3	2012	13	22	0.75	3.3
27	3	2012	14	22	0.09	3.2
28	3	2012	14	22	0.01	3.2
29	3	2012	13	22	0	3.3
30	3	2012	11	21	0	3.4
31	3	2012	14	24	1.16	3.7
1	4	2012	17	31	1.67	5
2	4	2012	15	25	0.67	3.8
3	4	2012	15	25	0.03	3.8
4	4	2012	14	27	0.01	4.5
5	4	2012	14	30	0	5.2
6	4	2012	20	35	0	5.7
7	4	2012	23	37	0	5.9
8	4	2012	19	56	0	10.5
9	4	2012	18	27	0	4
10	4	2012	17	28	0	4.4
11	4	2012	14	23	0	3.6
12	4	2012	13	23	0.03	3.8
13	4	2012	15	30	0	5.2
14	4	2012	21	34	0	5.5
15	4	2012	17	30	0.01	5
16	4	2012	15	26	0	4.3
17	4	2012	13	31	0	5.8
18	4	2012	19	33	0	5.6
19	4	2012	18	24	0	3.3
20	4	2012	14	26	0	4.5
21	4	2012	18	28	0	4.4
22	4	2012	18	31	0	5.2
23	4	2012	15	25	0	4.1
24	4	2012	14	26	0	4.5
25	4	2012	15	29	0	5.2
26	4	2012	16	31	0	5.6
27	4	2012	18	32	0.01	5.6
28	4	2012	16	31	0.17	5.6
29	4	2012	17	32	0.74	5.7
30	4	2012	19	27	0	4
1	5	2012	18	31	0	5.3
2	5	2012	17	29	0	5
3	5	2012	19	32	0	5.5
4	5	2012	21	33	0	5.5
5	5	2012	22	36	0	6.2
6	5	2012	18	34	0	6.2
7	5	2012	18	29	0	4.9
8	5	2012	17	32	0	5.8
9	5	2012	19	31	0	5.3
10	5	2012	19	32	0	5.6
11	5	2012	21	33	0	5.5
12	5	2012	21	35	0	6.1
13	5	2012	19	30	0	5
14	5	2012	21	30	0	4.7
15	5	2012	20	32	0	5.4
16	5	2012	22	34	0	5.7
17	5	2012	22	37	0	6.6
18	5	2012	19	32	0	5.6
19	5	2012	20	28	0	4.3
20	5	2012	19	28	0	4.5
21	5	2012	18	30	0	5.2
22	5	2012	23	38	0	6.8
23	5	2012	21	32	0	5.3
24	5	2012	19	31	0	5.4
25	5	2012	21	36	0	6.5
26	5	2012	21	32	0	5.3
27	5	2012	21	32	0	5.4
28	5	2012	22	37	0	6.7
29	5	2012	21	31	0	5.1
30	5	2012	19	32	0	5.7
31	5	2012	22	34	0	5.8
1	6	2012	23	34	0	5.6
2	6	2012	21	34	0	6
3	6	2012	21	34	0	6
4	6	2012	21	33	0	5.7
5	6	2012	19	32	0	5.7
6	6	2012	20	34	0	6.2
7	6	2012	24	36	0	6.1
8	6	2012	21	32	0	5.4
9	6	2012	21	33	0	5.7
10	6	2012	21	36	0	6.6
11	6	2012	23	35	0	6
12	6	2012	21	34	0	6
13	6	2012	21	34	0.35	6
14	6	2012	21	35	0.07	6.3
15	6	2012	23	36	0	6.3
16	6	2012	23	37	0	6.6
17	6	2012	24	38	0	6.7
18	6	2012	24	37	0	6.4
19	6	2012	24	35	0	5.8
20	6	2012	23	35	0	6
21	6	2012	24	36	0	6.1
22	6	2012	25	36	0	5.9
23	6	2012	26	39	0	6.7
24	6	2012	24	36	0	6.1
25	6	2012	23	35	0	6
26	6	2012	20	36	0	6.8
27	6	2012	24	35	0	5.8
28	6	2012	24	35	0	5.8
29	6	2012	23	34	0	5.6
30	6	2012	24	34	0	5.4
1	7	2012	24	36	0	6.1
2	7	2012	24	36	0	6.1
3	7	2012	24	34	0	5.4
4	7	2012	23	33	0	5.3
5	7	2012	23	34	0	5.6
6	7	2012	23	34	0	5.6
7	7	2012	24	35	0	5.7
8	7	2012	24	34	0	5.4
9	7	2012	22	35	0	6.1
10	7	2012	24	35	0	5.7
11	7	2012	24	34	0	5.4
12	7	2012	25	36	0	5.8
13	7	2012	25	37	0	6.2
14	7	2012	27	37	0	5.7
15	7	2012	26	38	0	6.3
16	7	2012	25	38	0	6.5
17	7	2012	25	37	0	6.1
18	7	2012	26	37	0	5.9
19	7	2012	25	38	0	6.4
20	7	2012	25	35	0	5.5
21	7	2012	24	34	0	5.3
22	7	2012	25	35	0	5.5
23	7	2012	26	35	0	5.2
24	7	2012	24	35	0	5.6
25	7	2012	25	36	0	5.8
26	7	2012	24	36	0	5.9
27	7	2012	24	35	0	5.6
28	7	2012	24	34	0	5.3
29	7	2012	24	34	0	5.3
30	7	2012	25	37	0	6
31	7	2012	27	38	0	6
1	8	2012	26	36	0	5.5
2	8	2012	26	35	0	5.2
3	8	2012	25	34	0	5
4	8	2012	24	33	0	4.9
5	8	2012	25	34	0	5
6	8	2012	24	36	0	5.8
7	8	2012	24	37	0	6.1
8	8	2012	27	38	0	5.9
9	8	2012	27	38	0	5.9
10	8	2012	27	38	0	5.8
11	8	2012	26	37	0	5.7
12	8	2012	26	37	0	5.7
13	8	2012	27	38	0	5.8
14	8	2012	25	34	0	4.9
15	8	2012	25	33	0	4.6
16	8	2012	25	34	0	4.9
17	8	2012	24	36	0	5.7
18	8	2012	25	36	0	5.5
19	8	2012	24	35	0	5.4
20	8	2012	24	34	0	5
21	8	2012	24	36	0	5.6
22	8	2012	24	35	0	5.3
23	8	2012	23	34	0	5.2
24	8	2012	23	36	0	5.7
25	8	2012	23	35	0	5.4
26	8	2012	24	36	0	5.5
27	8	2012	24	36	0	5.5
28	8	2012	24	34	0	4.9
29	8	2012	24	34	0	4.9
30	8	2012	24	33	0	4.6
31	8	2012	24	33	0	4.6
1	9	2012	23	32	0	4.5
2	9	2012	23	34	0	5
3	9	2012	23	33	0	4.7
4	9	2012	24	34	0	4.8
5	9	2012	23	34	0	5
6	9	2012	23	34	0	4.9
7	9	2012	23	34	0	4.9
8	9	2012	23	31	0	4.1
9	9	2012	24	32	0	4.1
10	9	2012	23	35	0	5.1
11	9	2012	23	33	0	4.6
12	9	2012	22	31	0	4.2
13	9	2012	23	30	0	3.7
14	9	2012	21	32	0	4.6
15	9	2012	22	33	0	4.7
16	9	2012	23	34	0	4.8
17	9	2012	23	36	0	5.3
18	9	2012	23	36	0	5.2
19	9	2012	22	32	0	4.3
20	9	2012	22	31	0	4
21	9	2012	22	32	0	4.3
22	9	2012	22	31	0	4
23	9	2012	21	30	0	3.9
24	9	2012	20	30	0	4
25	9	2012	19	32	0	4.6
26	9	2012	21	31	0	4.1
27	9	2012	21	32	0	4.3
28	9	2012	22	33	0	4.4
29	9	2012	22	33	0	4.4
30	9	2012	22	32	0	4.1
1	10	2012	22	31	0	3.8
2	10	2012	22	32	0	4.1
3	10	2012	21	31	0	3.9
4	10	2012	22	31	0	3.8
5	10	2012	22	31	0	3.8
6	10	2012	22	30	0	3.5
7	10	2012	22	29	0	3.2
8	10	2012	20	29	0	3.5
9	10	2012	22	31	0	3.7
10	10	2012	22	31	0	3.7
11	10	2012	24	31	0	3.3
12	10	2012	21	31	0	3.8
